run,group,dataset,kernel,dim,shots,replicate,projection_condition,selected_c,c_cv_score,id_val_bacc,id_test_bacc,ood_test_bacc,exact_c,exact_c_cv_score,exact_id_val_bacc,exact_id_test_bacc,exact_ood_test_bacc,ood_difference_from_exact,absolute_ood_difference,train_effective_rank,exact_train_effective_rank,train_effective_rank_ratio,kta_ood,exact_kta_ood,kta_ood_difference,train_min_eig_before_psd,train_min_eig_after_psd,train_frac_negative_eig,train_fro_change_sampling,train_fro_change_projection,ood_min_eig_before_psd,ood_min_eig_after_psd,ood_frac_negative_eig,ood_fro_change_sampling,ood_fro_change_projection,condition_train_fro_change_from_sampled,condition_id_val_fro_change_from_sampled,condition_id_test_fro_change_from_sampled,condition_ood_test_fro_change_from_sampled,condition_ood_square_fro_change_from_sampled,nystrom_retained_rank,nystrom_eigenvalue_tolerance,stable_seed_train
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,0,pre_psd,10.0,0.9700687990986762,0.975996951993904,0.9759001161440186,0.9819045482945898,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.005647318925327327,0.005647318925327327,58.29102241299289,35.43513889195029,1.6450061784923529,0.5027444698942305,0.5035271618849513,-0.0007826919907207852,-0.729376695959389,0.0,0.445,9.104150719093585,5.991268160483688,-0.9561049944434933,0.0,0.45,7.432618184019308,4.9538945116225275,0.0,0.0,0.0,0.0,0.0,,,2433996068985246993
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,0,independent_square_psd,10.0,0.9759554993725121,0.9681229362458725,0.9719318621757647,0.9764014162354411,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.0001441868661785639,0.0001441868661785639,58.29102241299289,35.43513889195029,1.6450061784923529,0.5031177778845988,0.5035271618849513,-0.00040938400035250844,-0.729376695959389,0.0,0.445,9.104150719093585,5.991268160483688,-0.9561049944434933,0.0,0.45,7.432618184019308,4.9538945116225275,5.991268160483688,0.0,0.0,0.0,4.9538945116225275,,,2433996068985246993
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,0,nystrom_psd,10.0,0.9759554993725121,0.9800292100584201,0.9798683701122726,0.9722520386420801,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,-0.004005190727182417,0.004005190727182417,58.29102241299289,35.43513889195029,1.6450061784923529,0.35089420566805574,0.5035271618849513,-0.15263295621689554,-0.729376695959389,0.0,0.445,9.104150719093585,5.991268160483688,-0.9561049944434933,0.0,0.45,7.432618184019308,4.9538945116225275,5.9912681604836875,3.2301324719351423,3.1859452737352165,3.9602581794974507,133.19425325763416,555.0,2.4841613184902218e-11,2433996068985246993
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,1,pre_psd,10.0,0.9700274156997709,0.9681229362458725,0.97977158343012,0.9778993575674073,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.0016421281981447988,0.0016421281981447988,58.272994604185754,35.43513889195029,1.6444974233591472,0.5026005068131613,0.5035271618849513,-0.0009266550717900168,-0.7265536445189708,0.0,0.444,9.113102050470015,5.99259750314676,-0.8985023757951328,0.0,0.444,7.467496696010928,4.971703063255433,0.0,0.0,0.0,0.0,0.0,,,18170625109505480553
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,1,independent_square_psd,10.0,0.976997166039179,0.9404686309372619,0.9717382888114595,0.9679584741825406,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,-0.008298755186721962,0.008298755186721962,58.272994604185754,35.43513889195029,1.6444974233591472,0.5029767455606521,0.5035271618849513,-0.0005504163242991966,-0.7265536445189708,0.0,0.444,9.113102050470015,5.99259750314676,-0.8985023757951328,0.0,0.444,7.467496696010928,4.971703063255433,5.99259750314676,0.0,0.0,0.0,4.971703063255433,,,18170625109505480553
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,1,nystrom_psd,10.0,0.976997166039179,0.9800292100584201,0.975803329461866,0.976113042503084,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,-0.0001441868661785639,0.0001441868661785639,58.272994604185754,35.43513889195029,1.6444974233591472,0.38032492054801176,0.5035271618849513,-0.12320224133693952,-0.7265536445189708,0.0,0.444,9.113102050470015,5.99259750314676,-0.8985023757951328,0.0,0.444,7.467496696010928,4.971703063255433,5.99259750314676,3.258461042945267,3.1856808463049058,3.970634577406556,124.1899569582863,556.0,2.4843842049406205e-11,18170625109505480553
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,2,pre_psd,10.0,0.9751741230569053,0.9840614681229363,0.9798683701122726,0.9859097390217721,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.009652509652509633,0.009652509652509633,58.16438986076512,35.43513889195029,1.6414325350359549,0.5027081419000329,0.5035271618849513,-0.000819019984918401,-0.7171622011720235,0.0,0.446,9.039986072626608,5.9589694128697825,-0.9131399463424053,0.0,0.446,7.5082213628133045,5.036783920369619,0.0,0.0,0.0,0.0,0.0,,,12063641047017429895
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,2,independent_square_psd,10.0,0.979048282877667,0.9760922021844044,0.971835075493612,0.9820487351607683,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.00579150579150578,0.00579150579150578,58.16438986076512,35.43513889195029,1.6414325350359549,0.5030943080267193,0.5035271618849513,-0.0004328538582319963,-0.7171622011720235,0.0,0.446,9.039986072626608,5.9589694128697825,-0.9131399463424053,0.0,0.446,7.5082213628133045,5.036783920369619,5.9589694128697825,0.0,0.0,0.0,5.036783920369619,,,12063641047017429895
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,2,nystrom_psd,10.0,0.979048282877667,0.9800292100584201,0.9798683701122726,0.9781877312997644,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.0019305019305019266,0.0019305019305019266,58.16438986076512,35.43513889195029,1.6414325350359549,0.445590981574121,0.5035271618849513,-0.057936180310830254,-0.7171622011720235,0.0,0.446,9.039986072626608,5.9589694128697825,-0.9131399463424053,0.0,0.446,7.5082213628133045,5.036783920369619,5.958969412869783,3.2812628025336252,3.2059223164483006,3.9301501537334,69.8046118925028,554.0,2.4857132150635067e-11,12063641047017429895
toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,toniot,pauli_xz_r1_full__as2,12,128,3,pre_psd,10.0,0.9730028981211296,0.975996951993904,0.975803329461866,0.9860539258879508,10.0,0.9820917511657928,0.9800292100584201,0.9838366240805265,0.9762572293692625,0.009796696518688308,0.009796696518688308,58.19889298467347,35.43513889195029,1.6424062330370706,0.5025436893787422,0.5035271618849513,-0.0009834725062091154,-0.765537732448249,0.0,0.446,9.064398277916066,5.961241869331885,-0.9110227096668286,0.0,0.446,7.527149496635093,5.005006627481829,0.0,0.0,0.0,0.0,0.0,,,16656490768693307677
